,series,right,title,cover,metadata
0,Ultimate X-Men,(March 2002),Ultimate X-Men #14,./covers/Ultimate X-Men #14.jpg,"{'pencils': 'Adam Kubert (signed)', 'colors': 'Richard Isanove (signed)', 'genre': 'superhero', 'characters': 'Gambit', 'keywords': 'playing cards'}"
0,X-Men,(January 1997),The Adventures of the X-Men #10,./covers/The Adventures of the X-Men #10.jpg,"{'pencils': 'Yancey Labat', 'inks': 'Ralph Cabrera', 'colors': '?', 'letters': '?', 'genre': 'superhero', 'characters': 'Storm; Jean Grey; Cyclops; Gambit; Mojo; Turner'}"
0,Ultimate X-Men,(March 2001),Ultimate X-Men #2,./covers/Ultimate X-Men #2.jpg,"{'pencils': 'Adam Kubert', 'colors': 'Richard Isanove', 'genre': 'superhero', 'characters': 'Wolverine; Storm; Colossus; Cyclops; Marvel Girl; Beast', 'reprints': 'in  Ultimate X-Men Deluxe (Panini, 2005 series) #1 (2005), #1 (2005)'}"
0,Ultimate X-Men,(September 2001),Ultimate X-Men #8,./covers/Ultimate X-Men #8.jpg,"{'pencils': 'Adam Kubert', 'colors': 'Richard Isanove', 'genre': 'superhero', 'characters': 'Storm', 'reprints': 'in  Ultimate X-Men Deluxe (Panini, 2005 series) #2 (2005)'}"
0,X-Men,(March 2000),X-Men Universe #4,./covers/X-Men Universe #4.jpg,"{'pencils': 'Paul Smith', 'inks': 'Paul Smith', 'colors': 'Liquid Graphics', 'letters': 'Typeset', 'genre': 'superhero', 'characters': 'Sabretooth'}"
0,X-Men,(June 2002),X-Men: Evolution #6,./covers/X-Men: Evolution #6.jpg,"{'pencils': 'Kia Asamiya', 'inks': 'Kia Asamiya', 'colors': 'Studio Tron', 'letters': 'Typeset', 'genre': 'superhero', 'characters': 'Cyclops; Jean Grey; Storm; Wolverine; Rogue', 'reprints': 'in  X-Men: Evolution (Panini Brasil, 2002 series) #3 (Outubro [October] 2002)'}"
0,X-Men,(February 2010),X-Men Forever #13,./covers/X-Men Forever #13.jpg,"{'pencils': 'Tom Grummett', 'inks': 'Terry Austin', 'colors': 'Morry Hollowell', 'letters': 'Tom Orzechowski', 'genre': 'superhero', 'characters': 'Black Magik; Illyana Rasputin'}"
0,X-Men,(March 2010),The Uncanny X-Men #520,./covers/The Uncanny X-Men #520.jpg,"{'pencils': 'Terry Dodson [as Dodsons] (signed)', 'inks': 'Rachel Dodson [as Dodsons] (signed)', 'colors': 'Justin Ponsor', 'genre': 'superhero', 'characters': 'Wolverine [James Howlett; Logan]; Psylocke [Betsy Braddock]; Fantomex', 'reprints': 'in  Los Increíbles Hombres X, Uncanny X-Men (Editorial Televisa, 2009 series) #24 (Marzo 2011)'}"
0,X-Men,(July 2010),X-Men Forever #23,./covers/X-Men Forever #23.jpg,"{'pencils': 'Tom Grummett', 'inks': 'Cory Hamscher', 'colors': 'Moose Baumann', 'letters': 'Tom Orzechowski', 'genre': 'superhero', 'characters': 'Jean Grey; Beast'}"
0,X-Men,(May 2011),X-Men: Legacy #246,./covers/X-Men: Legacy #246.jpg,"{'pencils': 'Leinil Francis Yu', 'inks': 'Leinil Francis Yu', 'colors': 'Marte Gracia', 'letters': 'typeset', 'genre': 'superhero', 'characters': 'Dust; Eclipse [Sunspot]; Karma; Magma; Moonstar; Warlock [Cypher]'}"
