,series,right,title,cover,metadata
0,X-Men,(July 2011),X-Men Giant-Size #1 [FF 50th Anniversary Variant],./covers/X-Men Giant-Size #1 [FF 50th Anniversary Variant].jpg,"{'pencils': 'Ed McGuinness', 'inks': 'Dexter Vines', 'colors': 'Marte Gracia', 'genre': 'superhero'}"
0,X-Men,(2001),Uncanny X-Men 2001 #[nn] [Newsstand Edition],./covers/Uncanny X-Men 2001 #[nn] [Newsstand Edition].jpg,"{'pencils': 'Ashley Wood (painted)', 'inks': 'Ashley Wood (painted)', 'colors': 'Ashley Wood (painted)', 'letters': 'typeset', 'genre': 'superhero', 'characters': 'Wolverine; Vanisher'}"
0,X-Men,(September 2017),X-Men: Gold #2 [Second Printing Syaf Cover Variant],./covers/X-Men: Gold #2 [Second Printing Syaf Cover Variant].jpg,"{'pencils': 'Ardian Syaf (credited)', 'inks': 'Jay Leisten (credited)', 'colors': 'Frank Martin (credited)', 'genre': 'superhero', 'characters': 'Old Man Logan; Cleevus; Magma [Amara Aquilla]; Pyro; Avalanche; Masque'}"
0,X-Men,(January 2016),Extraordinary X-Men #1 [Hastings Exclusive Todd Nauck Variant],nan,"{'pencils': 'Humberto Ramos (signed)', 'inks': 'Humberto Ramos (signed)', 'colors': 'Edgar Delgado (signed)', 'genre': 'superhero', 'characters': 'Storm; Old Man Logan; Nightcrawler; Colossus; Magik; Jean Grey; Iceman', 'reprints': 'in  X-Men (Panini Deutschland, 2016 series) #1 - Die Zuflucht (August 2016)'}"
0,X-Men,(June 2017),X-Men: Gold #2 [Adi Granov Cover Variant],nan,"{'pencils': 'Adi Granov (signed, credited)', 'inks': 'Adi Granov (signed, credited)', 'colors': 'Adi Granov (signed, credited)', 'genre': 'superhero', 'characters': 'Old Man Logan; Storm [Ororo Munroe]'}"
0,Avengers; X-Men,(July 2012),Avengers vs. X-Men #3 [Variant Cover by Sara Pichelli],./covers/Avengers vs. X-Men #3 [Variant Cover by Sara Pichelli].jpg,"{'pencils': 'Sara Pichelli', 'inks': 'Sara Pichelli', 'colors': '?', 'genre': 'superhero', 'characters': 'Hope Summers'}"
0,X-Men,(December 2013),Uncanny X-Men #13 [Variant Cover by Chris Bachalo],./covers/Uncanny X-Men #13 [Variant Cover by Chris Bachalo].jpg,"{'pencils': 'Ed McGuinness', 'inks': 'Ed McGuinness', 'colors': 'Marte Gracia', 'letters': 'Joe Caramagna', 'genre': 'superhero'}"
0,X-Men,(November 2013),Uncanny X-Men #12 [Variant Cover by Chris Bachalo],./covers/Uncanny X-Men #12 [Variant Cover by Chris Bachalo].jpg,"{'pencils': 'Chris Bachalo (signed)', 'inks': 'Tim Townsend (signed)', 'colors': 'Chris Bachalo (signed)', 'letters': '?', 'genre': 'superhero', 'characters': 'Cyclops; Hope Summers'}"
0,X-Men,(February 2016),Extraordinary X-Men #3 [Incentive Clay Mann Variant],./covers/Extraordinary X-Men #3 [Incentive Clay Mann Variant].jpg,"{'pencils': 'Humberto Ramos (signed)', 'inks': 'Humberto Ramos (signed)', 'colors': 'Edgar Delgado (signed)', 'genre': 'superhero', 'characters': 'Jean Grey; Old Man Logan; Magik; Storm; Colossus; Nightcrawler', 'reprints': 'in  X-Men (Panini Deutschland, 2016 series) #1 - Die Zuflucht (August 2016)'}"
0,X-Men,(September 2008),The Uncanny X-Men #500 [Greg Land Newsstand Cover],./covers/The Uncanny X-Men #500 [Greg Land Newsstand Cover].jpg,"{'pencils': 'Alex Ross (painted)', 'inks': 'Alex Ross (painted)', 'colors': 'Alex Ross (painted)', 'genre': 'superhero', 'characters': 'The X-Men [Professor X [Charles Xavier]; Beast [Hank McCoy]; Cyclops [Scott Summers]; Iceman [Bobby Drake]; Marvel Girl [Jean Grey]; Angel [Warren Worthington, III]; Polaris [Lorna Dane]; Havok [Alex Summers]; Banshee [Sean Cassidy]; Sunfire [Shiro Yoshida]; Thunderbird [John Proudstar]; Lucas Bishop; Jubilee [Jubilation Lee]; Emma Frost [White Queen]; Phoenix [Phoenix Force]; Dazzler [Alison Blaire]; Psylocke [Betsy Braddock]; Forge; Rogue; Colossus [Piotr Rasputin]; Gambit [Remy LeBeau]; Shadowcat [Kitty Pryde]; Storm [Ororo Munroe]; Nightcrawler [Kurt Wagner]];Magneto [Erik Lehnsherr; Magnus]; Sentinels', 'reprints': 'in  Essential X-Men (Panini UK, 2010 series) #3 (April 2010), #3 (April 2010)'}"
