,series,right,title,cover,metadata
0,nan,,Uncanny X-Men #2,nan,{}
0,nan,,Amazing X-Men #19,./covers/Amazing X-Men #19.jpg,{}
0,nan,,Amazing X-Men #17,./covers/Amazing X-Men #17.jpg,{}
0,nan,,Uncanny X-Men #19,./covers/Uncanny X-Men #19.jpg,{}
0,nan,,X-Men: The Manga #16,./covers/X-Men: The Manga #16.jpg,{}
0,nan,,X-Men: The Manga #21,./covers/X-Men: The Manga #21.jpg,{}
0,nan,,X-Men: Red #2,nan,{}
0,nan,,X-Men: Gold #25,nan,{}
0,Storm,(November 2010),X-Men: Curse of the Mutants - X-Men vs. Vampires #1,./covers/X-Men: Curse of the Mutants - X-Men vs. Vampires #1.jpg,"{'pencils': 'Nick Bradshaw', 'inks': 'Nick Bradshaw', 'colors': 'Jim Charalampidis', 'letters': 'typeset', 'genre': 'superhero'}"
0,nan,,X-Men #1 - Primer,nan,{}
0,nan,,X-Men #3 - Bloodline,nan,{}
0,nan,(2018),X-Men Classic Omnibus,./covers/X-Men Classic Omnibus.jpg,{}
0,nan,(2017),Inhumans vs. X-Men,nan,{}
0,nan,([July] 2004),X-Men: Old Soldiers,./covers/X-Men: Old Soldiers.jpg,{}
0,nan,([February] 2005),X-Men: Day of the Atom,nan,{}
0,nan,(August 2001),Ultimate X-Men #1,./covers/Ultimate X-Men #1.jpg,{}
0,X-Men,(December 1992),X-Men Adventures #2,./covers/X-Men Adventures #2.jpg,"{'pencils': 'Andrew Wildman', 'inks': 'Andrew Wildman', 'colors': '?', 'letters': 'Typeset', 'genre': 'superhero', 'characters': 'Cyclops; Storm; Wolverine; Rogue; Gambit; Jubilee; Sentinel', 'reprints': 'in  X-Men (Marvel UK, 1994 series) #2 (1994)'}"
0,X-Men,(February 1993),X-Men Adventures #4,./covers/X-Men Adventures #4.jpg,"{'pencils': 'Andrew Wildman', 'inks': 'Andrew Wildman', 'colors': '?', 'letters': 'Typeset', 'genre': 'superhero', 'characters': 'Cyclops; Storm; Rogue; Magneto'}"
0,X-Men,,Uncanny X-Men #1,./covers/Uncanny X-Men #1.jpg,"{'pencils': 'Carlos Pacheco', 'inks': 'Cam Smith', 'colors': ""Frank D'Armata"", 'letters': 'typeset', 'genre': 'superhero', 'characters': 'Colossus; Cyclops; Danger; Emma Frost; Magik; Magneto; Namor the Sub-Mariner; Storm; Hope Summers', 'reprints': 'in  X-Men: Season One (Marvel, 2012 series)  ([March] 2012)'}"
0,nan,,Ultimate X-Men #2,./covers/Ultimate X-Men #2.jpg,{}
0,nan,,Ultimate X-Men #9,nan,{}
0,nan,(March 2014),X-Men Legacy #22,nan,{}
0,nan,(2013),X-Men: X-Termination,nan,{}
