,series,right,title,cover,metadata
0,X-Men,(May 2014),X-Men #12,./covers/X-Men #12.jpg,"{'pencils': 'Terry Dodson', 'inks': 'Rachel Dodson', 'colors': 'Terry Dodson', 'genre': 'superhero', 'characters': 'X-Men [Storm; Monet; Rachel Grey; Psylocke; Jubilee]; Sentinels'}"
0,nan,(October 2012),X-Men #33,./covers/X-Men #33.jpg,{}
0,X-Men,(January 2014),X-Men #7,./covers/X-Men #7.jpg,"{'pencils': 'Terry Dodson', 'inks': 'Rachel Dodson', 'colors': 'Terry Dodson', 'genre': 'superhero'}"
0,X-Men,(August 2014),X-Men #15,./covers/X-Men #15.jpg,"{'pencils': 'Terry Dodson', 'inks': 'Rachel Dodson', 'colors': 'Terry Dodson', 'genre': 'superhero'}"
0,nan,(1995),X-Men Visionaries,nan,{}
0,X-Men,(July 1965),The X-Men #12,./covers/The X-Men #12.jpg,"{'pencils': 'Jack Kirby', 'inks': 'Frank Giacoia', 'colors': 'Stan Goldberg', 'letters': 'Sam Rosen', 'genre': 'superhero', 'characters': 'The X-Men [Professor X; Cyclops; Marvel Girl [Jean Grey]; Angel; Beast; Iceman]; Juggernaut', 'reprints': 'in  Fantastic! (IPC, 1967 series) #22 (15 July 1967)  in  The Official Marvel Index to the X-Men (Marvel, 1987 series) #1 (May 1987)  in  Marvel Masterworks (Marvel, 1987 series) #7 ([Novenber] 1988)  in  X-Men: The Early Years (Marvel, 1994 series) #12 (April 1995)  in  Essential Uncanny X-Men (Marvel, 1999 series) #1 (September 1999)  in  The X-Men Omnibus (Marvel, 2009 series) #1 ([April] 2009)  in  X-Men Epic Collection (Marvel, 2014 series) #1 - Children of the Atom ([January] 2015)  in  The X-Men (Newton Comics, 1976 series) #6'}"
0,X-Men,(December 1971),The X-Men #73,./covers/The X-Men #73.jpg,"{'pencils': 'Bill Everett', 'inks': 'Bill Everett', 'colors': 'Bill Everett', 'letters': 'Sam Rosen', 'genre': 'superhero', 'characters': 'X-Men [Cyclops; Angel; Iceman; Beast]; El Tigre', 'reprints': 'in  Marvel Masterworks: The X-Men (Marvel, 2003 series) #7 ([October] 2008)  in  X-Mannen Classics (Classics/Williams, 1971 series) #22'}"
0,X-Men,(April 1972),The X-Men #75,./covers/The X-Men #75.jpg,"{'pencils': 'Gil Kane', 'inks': 'John Romita', 'colors': '?', 'letters': 'Sam Rosen', 'genre': 'superhero', 'characters': 'X-Men [Professor X; Cyclops; Marvel Girl; Iceman; Beast]; Mimic', 'reprints': 'in  Marvel Masterworks: The X-Men (Marvel, 2003 series) #7 ([October] 2008)  in  X-Mannen Classics (Classics/Williams, 1971 series) #24'}"
0,X-Men,(July 1995),X-Men Prime,./covers/X-Men Prime.jpg,"{'pencils': 'Bryan Hitch', 'inks': 'Paul Neary', 'colors': '?', 'genre': 'superhero', 'characters': 'X-Men [Bishop; Wolverine; Storm; Beast; Cyclops; Gambit; Rogue; Angel; Psylocke]', 'reprints': 'in  Gli Incredibili X-Men (Marvel Italia, 1994 series) #75 (Settembre 1996)'}"
0,X-Men,(December 1973),The X-Men #85,./covers/The X-Men #85.jpg,"{'pencils': 'Don Heck; John Romita; John Verpoorten (alterations)', 'inks': 'Frank Giacoia; Don Heck; John Romita; John Verpoorten (alterations)', 'colors': '?', 'letters': 'Artie Simek', 'editing': 'Stan Lee (original Editor)', 'genre': 'superhero', 'characters': 'X-Men [Cyclops; Marvel Girl; Angel; Iceman; Beast]; Mutant Master', 'reprints': 'from  The X-Men (Marvel, 1963 series) #37 (October 1967)  in  Marvel Masterworks: The X-Men (Marvel, 2003 series) #8 ([March] 2010)'}"
