,series,right,title,cover,metadata
0,X-Men,,The Uncanny X-Men #164 [Canadian variant],./covers/The Uncanny X-Men #164 [Canadian variant].jpg,"{'pencils': 'Dave Cockrum (signed)', 'inks': 'Bob Wiacek (signed)', 'colors': '?', 'genre': 'superhero', 'characters': 'Binary [Carol Danvers]; Cyclops; Storm; Colossus; Nightcrawler', 'reprints': 'in  X-Men, Les étranges (Editions Lug, 1983 series) #7 (1986)which is reprinted  in  Nova (Editions Lug, 1978 series) #97 (5 février 1986), #98 (5 mars 1986), #99 (5 avril 1986)  in  Superaventuras Marvel (Editora Abril, 1982 series) #69 (Março 1988)  in  X-Men Classic (Marvel, 1990 series) #68 (February 1992)  in  Essential X-Men (Marvel, 1996 series) #4 (May 2001)  in  Marvel Gold. La Imposible Patrulla-X (Panini España, 2011 series) #4 - Desde las Cenizas (Agosto 2015)  in  Die Gruppe X (Condor, 1985 series) #12'}"
0,Ultimate X-Men,(December 2002),Ultimate X-Men #23 [Newsstand Edition],./covers/Ultimate X-Men #23 [Newsstand Edition].jpg,"{'pencils': 'Adam Kubert (signed)', 'colors': 'Richard Isanove (signed)', 'letters': 'typeset', 'genre': 'superhero', 'characters': 'Cyclops'}"
0,X-Men,(October 2012),Ultimate Comics X-Men #15,./covers/Ultimate Comics X-Men #15.jpg,"{'pencils': 'Phil Noto (signed)', 'inks': 'Phil Noto (signed)', 'colors': 'Phil Noto', 'genre': 'superhero'}"
0,X-Men,(September 2017),Astonishing X-Men #1 [Artgerm],./covers/Astonishing X-Men #1 [Artgerm].jpg,"{'pencils': 'Stanley Lau [as Artgerm] (signed)', 'inks': 'Stanley Lau [as Artgerm] (signed)', 'colors': 'Stanley Lau [as Artgerm] (signed)', 'genre': 'superhero', 'characters': 'Rogue; Gambit'}"
0,X-Men,(February 1979),The X-Men #118 [British Price Variant],./covers/The X-Men #118 [British Price Variant].jpg,"{'pencils': 'Dave Cockrum (signed)', 'inks': 'Terry Austin (signed)', 'colors': '?', 'letters': 'Dan Crespi', 'genre': 'superhero', 'characters': 'X-Men [Cyclops; Storm; Colossus; Nightcrawler]; Sunfire', 'reprints': 'in  Prosjekt X (Semic, 1984 series) #2/1984 (uke 50 1984)  in  The Official Marvel Index to the X-Men (Marvel, 1987 series) #6 (May 1988)  in  Classic X-Men (Marvel, 1986 series) #24 (August 1988)  in  El Asombroso Hombre Araña Presenta (Novedades, 1988 series) #83 (Noviembre 16 de 1989)  in  Marvel Masterworks (Marvel, 1987 series) #24 ([September] 1993)  in  Essential X-Men (Marvel, 1996 series) #1 (1996)  in  Marvel Gold. La Imposible Patrulla-X (Panini España, 2011 series) #1 - Segunda Génesis (Abril 2011)  in  X:en (Semic, 1984 series) #2/1984'}"
0,X-Men,(March 1979),The X-Men #119 [British Price Variant],./covers/The X-Men #119 [British Price Variant].jpg,"{'pencils': 'Dave Cockrum (signed)', 'inks': 'Terry Austin (signed)', 'colors': '?', 'letters': '?', 'genre': 'superhero', 'characters': 'X-Men [Cyclops; Storm; Wolverine; Colossus; Banshee; Nightcrawler; Sunfire]; Moses Magnum; Mandroid', 'reprints': 'in  The Official Marvel Index to the X-Men (Marvel, 1987 series) #6 (May 1988)  in  Classic X-Men (Marvel, 1986 series) #25 (September 1988)  in  El Asombroso Hombre Araña Presenta (Novedades, 1988 series) #85 (Noviembre 30 de 1989)  in  Marvel Masterworks (Marvel, 1987 series) #24 ([September] 1993)  in  Essential X-Men (Marvel, 1996 series) #1 (1996)  in  Marvel Gold. La Imposible Patrulla-X (Panini España, 2011 series) #1 - Segunda Génesis (Abril 2011)'}"
0,X-Men,(April 1980),The X-Men #132 [British Price Variant],nan,"{'script': '?', 'pencils': 'John Byrne (signed)', 'inks': 'Terry Austin (signed)', 'colors': '?', 'letters': 'Dan Crespi', 'genre': 'superhero', 'characters': 'X-Men [Cyclops; Storm; Colossus; Nightcrawler]; Hellfire Club [Sebastian Shaw; Harry Leland; Donald Pierce; Mastermind]', 'reprints': 'in  Superaventuras Marvel (Editora Abril, 1982 series) #31 (Janeiro 1985)  in  Prosjekt X (Semic, 1984 series) #6/1985 (uke 23 1985)  in  The Official Marvel Index to the X-Men (Marvel, 1987 series) #7 (July 1988)  in  Buy Rite, Inc. [X-Men] (Marvel, 2006 series)  (April 2006)  in  Marvel 70th Anniversary Collection (Marvel, 2009 series)  (July 2009)  in  X-Men: Dark Phoenix Saga (Marvel, 2010 series)  (June 2010)  in  Coleccionable Marvel Héroes (Panini España, 2010 series) #4 - La Patrulla-X: La Saga De Fénix Oscura (Septiembre 2010)  in  The Ultimate Graphic Novels Collection (Hachette Partworks, 2011 series) #2 - Uncanny X-Men: Dark Phoenix (January 2012)  in  Marvel Gold. La Imposible Patrulla-X (Panini España, 2011 series) #2 - Días del Futuro Pasado  in  X:en (Semic, 1984 series) #5/1985  in  Essential X-Men (Marvel, 1996 series) #2'}"
0,X-Men,(February 1992),The Uncanny X-Men #285 [Newsstand Edition],./covers/The Uncanny X-Men #285 [Newsstand Edition].jpg,"{'pencils': 'Whilce Portacio (signed)', 'inks': 'Art Thibert (signed)', 'colors': '?', 'letters': 'Tom Orzechowski', 'genre': 'superhero', 'characters': 'Storm; Iceman; Jean Grey; Colossus; Sunfire', 'reprints': 'in  SpÃ©cial Strange (Semic S.A., 1989 series) #85 (Mars 1993)'}"
0,X-Men,(April 1992),The Uncanny X-Men #287 [Newsstand Edition],./covers/The Uncanny X-Men #287 [Newsstand Edition].jpg,"{'pencils': 'Whilce Portacio', 'inks': 'Art Thibert', 'colors': '?', 'letters': 'Tom Orzechowski', 'genre': 'superhero', 'characters': 'Bishop; Malcom; Randall'}"
0,X-Men,(March 1985),The Uncanny X-Men #191 [Newsstand Edition],./covers/The Uncanny X-Men #191 [Newsstand Edition].jpg,"{'pencils': 'John Romita, Jr. (signed)', 'inks': 'Dan Green (signed)', 'colors': '?', 'genre': 'superhero', 'characters': 'Colossus; Vision', 'reprints': 'in  Gli Incredibili X-Men (Edizioni Star Comics, 1990 series) #14 (Settembre 1991)  in  Essential X-Men (Marvel, 1996 series) #5 (2004)'}"
