,series,right,title,cover,metadata
0,X-Men,(January 1992),X-Men #4 [Newsstand Edition],./covers/X-Men #4 [Newsstand Edition].jpg,"{'pencils': 'Jim Lee', 'inks': 'Scott Williams', 'colors': '?', 'genre': 'superhero', 'characters': 'X-Men [Wolverine; Gambit; Jubilee]; Omega Red', 'reprints': 'in  Gli Incredibili X-Men (Marvel Italia, 1994 series) #51 (Settembre 1994)  in  X-Men: Mutant Genesis (Marvel, 1995 series)  [First Printing] (1995)  in  X-Men: Mutant Genesis (Marvel, 2010 series)  (2010)'}"
0,X-Men,(April 1993),X-Men #19 [Newsstand Edition],./covers/X-Men #19 [Newsstand Edition].jpg,"{'pencils': 'Andy Kubert (signed)', 'inks': 'Mark Pennington (signed)', 'colors': '?', 'letters': '?', 'genre': 'superhero', 'characters': 'Colossus; Illyana Rasputin', 'reprints': 'in  X-Men: A Skinning of Souls (Marvel, 2013 series)  ([November] 2013)  in  X-Men Flip Book (Marvel, 1995 series) #52 [cover]'}"
0,X-Men,(November 1991),X-Men #2 [Newsstand Edition],nan,"{'script': '?', 'pencils': 'Jim Lee (signed)', 'inks': 'Scott Williams (signed)', 'colors': '?', 'letters': '?', 'genre': 'superhero', 'characters': 'Magneto; X-Men [Professor X; Cyclops; Wolverine; Rogue; Psylocke; Gambit]', 'reprints': 'in  Gli Incredibili X-Men (Marvel Italia, 1994 series) #50 (Agosto 1994)  in  X-Men: Mutant Genesis (Marvel, 1995 series)  [First Printing] (1995)  in  X-Men No. 2 [Marvel Legends Reprint] (Marvel, 2002 series) #[nn] (August 2002) [cover]  in  X-Men Forever Alpha (Marvel, 2009 series) #1 ([July] 2009) [cover]  in  X-Men: Mutant Genesis (Marvel, 2010 series)  (2010)  in  X-Men Epic Collection (Marvel, 2014 series) #19 - Mutant Genesis  in  X-Men (SatellitFÃ¶rlaget, 1990 series) #7/1993'}"
0,X-Men,(July 1993),X-Men #22 [Newsstand Edition],./covers/X-Men #22 [Newsstand Edition].jpg,"{'pencils': 'Andy Kubert (signed)', 'inks': 'Mark Pennington (signed)', 'colors': '?', 'genre': 'superhero', 'characters': 'Psylocke; Revanche; Silver Samurai', 'reprints': 'in  X-Men: A Skinning of Souls (Marvel, 2013 series)  ([November] 2013)'}"
0,X-Men,(November 1993),X-Men #26 [Newsstand Edition],nan,"{'pencils': 'Andy Kubert (signed)', 'inks': 'Matt Ryan (signed)', 'colors': '?', 'letters': '?', 'genre': 'superhero', 'characters': 'Cyclops; Rogue; Captain America [Steve Rogers]; Scarlet Witch', 'reprints': 'in  Avengers / X-Men: Bloodties (Marvel, 2012 series)  [premiere edition] (2012)', 'keywords': 'Bloodties'}"
0,X-Men,(June 1994),X-Men #33 [Newsstand Edition],./covers/X-Men #33 [Newsstand Edition].jpg,"{'pencils': 'Andy Kubert (signed)', 'inks': 'Matt Ryan (signed)', 'colors': 'Lovern Kindzierski (signed)', 'genre': 'superhero', 'characters': 'Gambit; Sabretooth', 'reprints': 'in  Giant-Sized Gambit (Marvel, 1998 series)  (December 1998)'}"
0,X-Men,(October 1996),X-Men #57 [Newsstand Edition],nan,"{'pencils': 'Andy Kubert (signed)', 'inks': 'Andy Kubert (signed)', 'colors': '?', 'letters': '?', 'genre': 'superhero', 'characters': 'X-Men [Professor X [Charles Xavier]; Cyclops; Jean Grey; Storm; Bishop; Wolverine]', 'reprints': 'in  Gli Incredibili X-Men (Marvel Italia, 1994 series) #88 (Ottobre 1997)  in  X-Men (Panini Deutschland, 1997 series) #24 (28. Januar 1999)'}"
0,X-Men,(April 1997),X-Men #63 [Newsstand Edition],nan,"{'pencils': 'Carlos Pacheco (signed)', 'inks': 'Art Thibert (signed)', 'colors': 'Liquid Graphics (signed)', 'letters': '?', 'genre': 'superhero', 'characters': 'Wolverine; Cannonball; Sebastian Shaw'}"
0,X-Men,(June 1999),X-Men #89 [Newsstand Edition],./covers/X-Men #89 [Newsstand Edition].jpg,"{'pencils': 'Alan Davis', 'inks': 'Mark Farmer', 'colors': '?', 'letters': '?', 'genre': 'superhero', 'characters': 'Kitty Pryde; Adam Warlock; Thunderbird [John Proudstar]; Captain Marvel [Mar-Vell]'}"
0,X-Men,(June 2000),X-Men #101 [Newsstand Edition],./covers/X-Men #101 [Newsstand Edition].jpg,"{'pencils': 'Leinil Francis Yu (signed)', 'inks': 'Mark Morales', 'colors': '?', 'letters': '?', 'genre': 'superhero', 'characters': 'Nightcrawler; Cecilia Reyes', 'reprints': 'in  X-Men Universe (Marvel, 1999 series) #11 (October 2000)'}"
0,X-Men,(September 2000),X-Men #104 [Newsstand Edition],./covers/X-Men #104 [Newsstand Edition].jpg,"{'pencils': 'Leinil Francis Yu', 'inks': 'Mark Morales', 'colors': '?', 'letters': 'Typeset', 'genre': 'superhero', 'characters': 'X-Men [Wolverine; Rogue; Gambit]; Killian', 'reprints': 'in  X-Men Universe (Marvel, 1999 series) #14 (January 2001)'}"
0,X-Men,(November 1998),X-Men #81 [Newsstand Edition],./covers/X-Men #81 [Newsstand Edition].jpg,"{'pencils': 'Adam Kubert (signed)', 'inks': 'Adam Kubert (signed)', 'colors': '?', 'letters': '?', 'genre': 'superhero', 'characters': 'Gambit; Rogue; Kali'}"
0,X-Men,(April 2011),The Uncanny X-Men #534 [Variant Edition],./covers/The Uncanny X-Men #534 [Variant Edition].jpg,"{'pencils': 'Janet Lee', 'inks': 'Janet Lee', 'colors': 'Janet Lee', 'genre': 'superhero', 'characters': 'White Queen [Emma Frost]', 'reprints': 'in  Uncanny X-Men: Quarantine (Marvel, 2011 series)  (2011)'}"
0,X-Men,(June 2013),All-New X-Men #10,./covers/All-New X-Men #10.jpg,"{'pencils': 'Stuart Immonen', 'inks': 'Wade Von Grawbadger', 'colors': 'Marte Gracia', 'genre': 'superhero', 'characters': 'X-Men [Cyclops (1964); Angel (1964); Beast (1964); Iceman (1964); Marvel Girl (1964)]; Wolverine', 'reprints': 'in  All New X-Men (Standaard Uitgeverij, 2015 series) #4 (2016)  in  Novíssimos X-Men (Panini Brasil, 2016 series) #2 - Criando Raízes (Junho 2016)  in  La Nueva Patrulla-X (Panini España, 2013 series) #4'}"
0,X-Men,(July 2013),X-Men #1 [Olivier Coipel Cover],./covers/X-Men #1 [Olivier Coipel Cover].jpg,"{'pencils': 'Olivier Coipel', 'inks': 'Olivier Coipel', 'colors': 'Laura Martin', 'genre': 'superhero', 'characters': 'X-Men [Storm; Rogue; Psylocke; Jubilee; Shadowcat [Kitty Pryde]; Rachel Grey]'}"
0,X-Men 2099,(September 1994),X-Men 2099 #12 [Newsstand Edition],./covers/X-Men 2099 #12 [Newsstand Edition].jpg,"{'pencils': 'Ron Lim (signed)', 'inks': 'Harry Candelario (signed)', 'colors': 'Tom Smith', 'genre': 'science fiction; superhero', 'characters': 'X-Men 2099 [Metalhead; Skullfire]; La Lunatica; The Driver; Broken Haiku; Junkpile'}"
0,Superhero Squad,(January 2009 [January 2010]),Astonishing X-Men #32 [Variant Edition],./covers/Astonishing X-Men #32 [Variant Edition].jpg,"{'pencils': '?', 'inks': '?', 'colors': '?', 'genre': 'superhero; humor'}"
0,X-Men,(June 1985),The Uncanny X-Men #194 [Newsstand Edition],./covers/The Uncanny X-Men #194 [Newsstand Edition].jpg,"{'pencils': 'John Romita, Jr. (signed)', 'inks': 'Dan Green', 'colors': '?', 'genre': 'superhero', 'characters': 'Rogue; Nimrod [Sentinel]; Juggernaut', 'reprints': ""in  Gli Incredibili X-Men (Edizioni Star Comics, 1990 series) #15 (Ottobre 1991)  in  X-Men Classic (Marvel, 1990 series) #98 (August 1994)  in  Essential X-Men (Marvel, 1996 series) #5 (2004)  in  Marvel mutanter (SatellitFörlaget, 1989 series) #3/1989  in  X-Men : l'intégrale (Panini France, 2003 series) #9""}"
0,X-Men,(April 1989),Classic X-Men #32 [Newsstand Edition],./covers/Classic X-Men #32 [Newsstand Edition].jpg,"{'pencils': 'Steve Lightle (signed)', 'inks': 'Steve Lightle (signed)', 'colors': '?', 'genre': 'superhero', 'characters': 'X-Men [Nightcrawler; Storm; Wolverine]', 'reprints': 'in  X-Men Classic (Panini France, 2012 series) #4 (décembre 2012)'}"
