,series,right,title,cover,metadata
0,X-Men,(Early November 1989),The Uncanny X-Men #251 [Newsstand Edition],./covers/The Uncanny X-Men #251 [Newsstand Edition].jpg,"{'pencils': 'Marc Silvestri (signed)', 'inks': 'Dan Green (signed)', 'colors': '?', 'genre': 'superhero', 'characters': 'Wolverine', 'reprints': 'in  Gli Incredibili X-Men (Edizioni Star Comics, 1990 series) #41 (Dicembre 1993)  in  X-Men by Chris Claremont & Jim Lee Omnibus (Marvel, 2011 series) #1 ([October] 2011)  in  La Patrulla-X (Planeta DeAgostini, 1985 series) #96  in  X-Men (SatellitFÃ¶rlaget, 1990 series) #4/1992', 'keywords': 'rain; skulls'}"
0,X-Men,(Late December 1989),The Uncanny X-Men #256 [Newsstand Edition],./covers/The Uncanny X-Men #256 [Newsstand Edition].jpg,"{'pencils': 'Jim Lee (signed)', 'inks': 'Scott Williams (signed)', 'colors': '?', 'genre': 'superhero', 'characters': 'Mandarin; Psylocke', 'reprints': 'in  Gli Incredibili X-Men (Edizioni Star Comics, 1990 series) #42 (Gennaio 1994)  in  X-Men: Mutations (Marvel, 1996 series)  (1996)  in  X-Men Visionaries: Jim Lee (Marvel, 2002 series)  (2002)  in  X-Men by Chris Claremont & Jim Lee Omnibus (Marvel, 2011 series) #1 ([October] 2011)'}"
0,X-Men,(March 2005),X-Men #166 [Direct Edition],./covers/X-Men #166 [Direct Edition].jpg,"{'pencils': 'Salvador Larroca (signed)', 'inks': 'Salvador Larroca', 'colors': 'Liquid Graphics (signed)', 'letters': '?', 'genre': 'superhero', 'characters': 'Wolverine; Havok; Polaris; Gambit; Rogue', 'reprints': 'in  X-Men: Golgotha (Marvel, 2005 series)  ([July] 2005)'}"
0,X-Men,(January 2005),The Uncanny X-Men #452 [Direct Edition],./covers/The Uncanny X-Men #452 [Direct Edition].jpg,"{'pencils': 'Paul Smith [as PMS] (signed)', 'inks': 'Paul Smith [as PMS] (signed)', 'colors': '?', 'letters': 'Typeset', 'genre': 'superhero', 'characters': 'Sage [Tessa]; Storm; Marvel Girl [Rachel Grey]', 'reprints': 'in  Best Comics : X-Men (Panini France, 2011 series) #4 - Chasse damnée (février 2013)'}"
0,X-Men,(December 2004),Astonishing X-Men #6 [Direct Edition],./covers/Astonishing X-Men #6 [Direct Edition].jpg,"{'pencils': 'John Cassaday', 'inks': 'John Cassaday', 'colors': 'Laura Martin', 'letters': 'Typeset', 'genre': 'superhero', 'characters': 'Colossus; Shadowcat [Kitty Pryde]', 'reprints': 'in  Astonishing X-Men (Marvel, 2004 series) #1 - Gifted ([December] 2004)  in  Astonishing X-Men No. 4 [Marvel Legends Reprint] (Marvel, 2005 series) #[nn] (November 2005)  in  Astonishing X-Men (Marvel, 2006 series) #1 (2006)  in  Astonishing X-Men Saga (Marvel, 2006 series)  (2006)  in  Marvel Select Flip Magazine (Marvel, 2005 series) #6 (January 2006), #6 (January 2006)  in  Astonishing X-Men (Panini Deutschland, 2006 series) #1 - Begabt ([Februar] 2006)'}"
0,X-Men,(February 2005),Astonishing X-Men #8 [Direct Edition],./covers/Astonishing X-Men #8 [Direct Edition].jpg,"{'pencils': 'John Cassaday [as JC] (signed)', 'inks': 'John Cassaday [as JC] (signed)', 'colors': 'Laura Martin (signed)', 'genre': 'superhero', 'characters': 'Wolverine', 'reprints': 'in  Astonishing X-Men (Marvel, 2004 series) #2 - Dangerous ([August] 2005)  in  Astonishing X-Men (Marvel, 2006 series) #1 (2006)  in  Astonishing X-Men Saga (Marvel, 2006 series)  (2006)  in  X-Men (Hjemmet / Egmont, 2003 series) #4/2006 ([juli] 2006)  in  Astonishing X-Men (Джема 68, 2009 series) #1 (Ноември 2009)'}"
0,X-Men,(May 2005),X-Men: Age of Apocalypse #4,./covers/X-Men: Age of Apocalypse #4.jpg,"{'pencils': 'Chris Bachalo (signed)', 'inks': 'Tim Townsend (signed)', 'colors': '?', 'letters': 'Typeset', 'genre': 'superhero', 'characters': 'Rogue; Nightcrawler; Xorn'}"
0,X-Men,(June 2005),X-Men: Age of Apocalypse #6,./covers/X-Men: Age of Apocalypse #6.jpg,"{'pencils': 'Chris Bachalo (signed)', 'inks': 'Tim Townsend (signed)', 'colors': '?', 'letters': 'Typeset', 'genre': 'superhero', 'characters': 'Magneto'}"
0,X-Men,(May 2005),X-Men: The End - Heroes and Martyrs #1,./covers/X-Men: The End - Heroes and Martyrs #1.jpg,"{'pencils': 'Greg Land (signed)', 'inks': 'Matt Ryan (signed)', 'colors': 'Justin Ponsor (signed)', 'genre': 'superhero', 'characters': 'Cyclops; Wolverine; Storm', 'reprints': 'in  X-Men: The End (Marvel, 2005 series) #2 - Heroes & Martyrs ([October] 2005)'}"
0,X-Men,(November 2004),X-Men: The End #3 [Direct Edition],./covers/X-Men: The End #3 [Direct Edition].jpg,"{'pencils': 'Greg Land (signed)', 'inks': 'Matt Ryan (signed)', 'colors': 'Justin Ponsor [as J-Po] (signed)', 'letters': 'Typeset', 'genre': 'superhero', 'characters': 'Jean Grey', 'reprints': 'in  X-Men: The End (Marvel, 2005 series) #1 - Dreamers & Demons (2005)'}"
