,series,right,title,cover,metadata
0,X-Men,(March 1992),X-Men Classic #69 [Newsstand Edition],nan,"{'pencils': 'Mike Mignola (signed)', 'inks': 'Mike Mignola (signed)', 'colors': '?', 'letters': '?', 'genre': 'superhero', 'characters': 'Storm; Brood'}"
0,X-Men,(October 1976),The X-Men #101 [British price variant],./covers/The X-Men #101 [British price variant].jpg,"{'pencils': 'Dave Cockrum (signed)', 'inks': 'Dave Cockrum (signed)', 'colors': '?', 'letters': 'Dan Crespi', 'genre': 'superhero', 'characters': 'X-Men [Cyclops; Storm; Nightcrawler; Phoenix [Jean Grey]]', 'reprints': ""in  Atlantic special (Atlantic Förlags AB, 1981 series) #2/1981 (1981) [cover]  in  Atlantic Spesial [Atlantic Special] (Atlantic Forlag, 1981 series) #2/1981 ([juli] 1981)  in  Classic X-Men (Marvel, 1986 series) #9 (May 1987)  in  The Official Marvel Index to the X-Men (Marvel, 1987 series) #5 (March 1988)  in  El Asombroso Hombre Araña Presenta (Novedades, 1988 series) #49 (Marzo 23 de 1989)  in  Marvel Masterworks (Marvel, 1987 series) #12 ([August] 1990), #12 ([August] 1990)  in  X-Men Classic (Marvel Italia, 1995 series) #3 (Dicembre 1995)  in  Marvel Comics' X-Men 2: Enter The Phoenix (Tor Books, 1996 series)  (1996)  in  Essential X-Men (Marvel, 1996 series) #1 (1996)  in  X-Men : l'intégrale (Panini France, 2003 series) #1975-1976 (décembre 2003)  in  Marvel Masterworks: The Uncanny X-Men - Barnes & Noble Edition (Marvel, 2003 series) #2 (2004), #2 (2004)  in  X-Men Vol. 1, No. 101 [Marvel Legends Reprint] (Marvel, 2004 series)  (February 2004)  in  Marvel Gold. La Imposible Patrulla-X (Panini España, 2011 series) #1 - Segunda Génesis (Abril 2011)  in  True Believers Enter the Phoenix (Marvel, 2018 series)  (February 2018)""}"
0,Wolverine; X-Men,(April 2013),Wolverine & the X-Men #25 [McGuinness],./covers/Wolverine & the X-Men #25 [McGuinness].jpg,"{'pencils': 'Ed McGuinness', 'inks': '?', 'colors': '?', 'letters': 'typeset', 'genre': 'superhero'}"
0,X-Men,(August 1976),The X-Men #100 [British Price Variant],./covers/The X-Men #100 [British Price Variant].jpg,"{'pencils': 'Dave Cockrum', 'inks': 'Dave Cockrum', 'colors': '?', 'letters': 'Dan Crespi', 'genre': 'superhero', 'characters': 'X-Men [Storm; Colossus; Wolverine; Banshee; Nightcrawler]; X-Sentinels [Professor X; Cyclops; Marvel Girl; Angel; Beast; Iceman]', 'reprints': ""in  Classic X-Men (Marvel, 1986 series) #8 (April 1987)  in  The Official Marvel Index to the X-Men (Marvel, 1987 series) #5 (March 1988)  in  El Asombroso Hombre Araña Presenta (Novedades, 1988 series) #47 (Marzo 9 de 1989)  in  Marvel Masterworks (Marvel, 1987 series) #11 ([November] 1989)  in  Essential X-Men (Marvel, 1996 series) #1 (1996)  in  Marvel Masterworks: The Uncanny X-Men - Barnes & Noble Edition (Marvel, 2003 series) #1 (2003)  in  X-Men : l'intégrale (Panini France, 2003 series) #1975-1976 (décembre 2003)  in  Marvel Masterworks: The Uncanny X-Men (Marvel, 2009 series) #1 (2011 [second printing])  in  Marvel Gold. La Imposible Patrulla-X (Panini España, 2011 series) #1 - Segunda Génesis (Abril 2011)  in  X-Men Epic Collection (Marvel, 2014 series) #5 - Second Genesis ([March] 2017)  in  True Believers Enter the Phoenix (Marvel, 2018 series)  (February 2018)  in  Marvel Trois-dans-un X-Men (Editions Héritage, 1981 series) #8  in  Die Gruppe X (Condor, 1985 series) #2  in  X-Men (Μαμούθ Comix, 1986 series) #4""}"
0,nan,(November 2012),X-Treme X-Men #4,./covers/X-Treme X-Men #4.jpg,{}
0,nan,(November 2012),X-Treme X-Men #3,./covers/X-Treme X-Men #3.jpg,{}
0,X-Men,(March 1990),Classic X-Men #45 [Newsstand Edition],./covers/Classic X-Men #45 [Newsstand Edition].jpg,"{'pencils': 'Steve Lightle (signed)', 'inks': 'Steve Lightle (signed)', 'colors': '?', 'genre': 'superhero', 'characters': 'Wolverine; Nightcrawler', 'reprints': 'in  X-Men Saga (Semic S.A., 1990 series) #18which is reprinted  in  Nova (Semic S.A., 1989 series) #200 (5 septembre 1994)'}"
0,X-Club,(July 2010),X-Men: Blind Science #1,./covers/X-Men: Blind Science #1.jpg,"{'pencils': 'Gerald Parel (Painted)', 'inks': 'Gerald Parel (Painted)', 'colors': 'Gerald Parel (Painted)', 'letters': 'Typeset', 'genre': 'superhero', 'characters': 'Dr. Kavita Rao; Dr. Nemesis; Box [Madison Jeffries]; Bastion'}"
0,X-Men,(February 2011),Astonishing X-Men: Xenogenesis #4,./covers/Astonishing X-Men: Xenogenesis #4.jpg,"{'pencils': 'Kaare Andrews', 'inks': 'Kaare Andrews', 'colors': '?', 'letters': 'Typeset', 'genre': 'superhero', 'characters': 'Wolverine; Emma Frost [White Queen]'}"
0,X-Men,(July 2011),X-Men: Prelude to Schism #2,./covers/X-Men: Prelude to Schism #2.jpg,"{'pencils': 'Giuseppe Camuncoli', 'inks': 'Giuseppe Camuncoli', 'colors': 'Dan Brown', 'letters': 'typeset', 'genre': 'superhero', 'characters': 'Magneto'}"
0,X-Men,(2009),X-Men: Proteus  [Premiere Edition],./covers/X-Men: Proteus  [Premiere Edition].jpg,"{'pencils': 'Dave Cockrum', 'inks': 'Terry Austin', 'colors': '?', 'genre': 'superhero', 'characters': 'Cyclops; Storm; Wolverine; Colossus; Nightcrawler', 'reprints': 'from  The X-Men (Marvel, 1963 series) #126 [Direct Edition] (October 1979)'}"
