,series,right,title,cover,metadata
0,X-Men,(February 2010),X-Men: Legacy #230,./covers/X-Men: Legacy #230.jpg,"{'pencils': 'Ben Oliver', 'inks': 'Ben Oliver', 'colors': 'Ben Oliver', 'genre': 'superhero', 'characters': 'Rogue; Emplate'}"
0,Dark X-Men,(February 2010),Dark X-Men #2,./covers/Dark X-Men #2.jpg,"{'pencils': 'Simone Bianchi (signed)', 'inks': 'Simone Bianchi (signed)', 'colors': 'Simone Peruzzi [as SP]', 'genre': 'superhero', 'characters': 'X-Man [Nathan Grey]'}"
0,X-Men,(September 2009),X-Men Forever #3,./covers/X-Men Forever #3.jpg,"{'pencils': 'Tom Grummett', 'inks': 'Cory Hamscher', 'colors': 'Moose Baumann', 'letters': 'Tom Orzechowski', 'genre': 'superhero', 'characters': 'Cyclops; Beast; Rogue; Gambit; Nightcrawler; Kitty Pryde; Sabretooth'}"
0,Ultimate X-Men,(June 2008),Ultimate X-Men #93,./covers/Ultimate X-Men #93.jpg,"{'pencils': 'Salvador Larroca', 'inks': 'Salvador Larroca', 'colors': 'Stephane Peru', 'letters': 'typeset', 'genre': 'superhero', 'characters': 'Phoenix [Jean Grey]; Wolverine; Apocalypse; Magneto'}"
0,X-Men,(September 2011),The Uncanny X-Men #540,./covers/The Uncanny X-Men #540.jpg,"{'pencils': 'Greg Land (signed)', 'inks': 'Greg Land (signed)', 'colors': 'Justin Ponsor [as J-Po] (signed)', 'letters': 'typeset', 'genre': 'superhero', 'characters': 'Juggernaut [Cain Marko]', 'reprints': 'in  Los IncreÃ\xadbles Hombres X, Uncanny X-Men (Editorial Televisa, 2009 series) #33 (Diciembre 5, 2011)'}"
0,X-Men,(June 2013),Astonishing X-Men #61,./covers/Astonishing X-Men #61.jpg,"{'pencils': 'Giuseppe Camuncoli', 'inks': 'Cam Smith', 'colors': 'Rain Beredo', 'genre': 'superhero'}"
0,X-Men,(May 2013),Astonishing X-Men #60,./covers/Astonishing X-Men #60.jpg,"{'pencils': 'Giuseppe Camuncoli', 'inks': 'Cam Smith', 'colors': 'Rain Beredo', 'genre': 'superhero'}"
0,X-Men,(August 2013),Astonishing X-Men #63,nan,"{'pencils': 'Phil Noto', 'inks': 'Phil Noto', 'colors': 'Phil Noto', 'genre': 'superhero'}"
0,X-Men,(May 2012),Uncanny X-Men #8,./covers/Uncanny X-Men #8.jpg,"{'pencils': 'Greg Land', 'inks': 'Greg Land', 'colors': 'Justin Ponsor', 'letters': 'typeset', 'genre': 'superhero', 'characters': 'Colossus; Magik'}"
0,nan,([June] 2010),Astonishing X-Men: Gifted,nan,{}
