,series,right,title,cover,metadata
0,X-Men,(May 1995),Ultimate Amazing X-Men,./covers/Ultimate Amazing X-Men.jpg,"{'pencils': 'Andy Kubert (signed)', 'inks': 'Andy Kubert (signed)', 'letters': '?', 'genre': 'superhero', 'characters': 'X-Men [Quicksilver; Storm; Iceman; Banshee; Dazzler; Exodus]', 'reprints': 'from  Amazing X-Men (Marvel, 1995 series) #1 [Direct Edition] (March 1995)'}"
0,Wolverine & the X-Men,(March 2014),Wolverine & the X-Men #40,./covers/Wolverine & the X-Men #40.jpg,"{'pencils': 'Nick Bradshaw', 'inks': 'Nick Bradshaw', 'colors': 'Laura Martin', 'genre': 'superhero'}"
0,nan,(May 2014),X-Men Legacy #300,./covers/X-Men Legacy #300.jpg,{}
0,Wolverine & the X-Men,(April 2014),Wolverine & the X-Men #41,./covers/Wolverine & the X-Men #41.jpg,"{'pencils': 'Nick Bradshaw', 'inks': 'Nick Bradshaw', 'colors': 'Israel Silva', 'genre': 'superhero', 'characters': 'Wolverine; Rachel Grey; Beast; Angel; Iceman; Husk; Storm; Broo; Eye Boy; Dooop'}"
0,nan,(March 2014),Uncanny X-Men #16,./covers/Uncanny X-Men #16.jpg,{}
0,Wolverine & the X-Men,(January 2014),Wolverine & the X-Men #38,./covers/Wolverine & the X-Men #38.jpg,"{'pencils': 'Nick Bradshaw', 'inks': 'Nick Bradshaw', 'colors': 'Laura Martin', 'genre': 'superhero', 'characters': 'Wolverine'}"
0,X-Men,(June 2017),X-Men: Gold #2,./covers/X-Men: Gold #2.jpg,"{'pencils': 'Ardian Syaf (credited)', 'inks': 'Jay Leisten (credited)', 'colors': 'Frank Martin (credited)', 'genre': 'superhero', 'characters': 'Old Man Logan [James ""Logan"" Howlett]; Cleevus; Magma [Amara Aquilla]; Pyro; Avalanche; Masque', 'reprints': 'in  X-Men Gold (Editorial Televisa, 2017 series) #2 (25 de enero de 2018)'}"
0,X-Men,(May 2018),Astonishing X-Men #9,nan,"{'pencils': 'Leinil Francis Yu (signed, credited)', 'inks': 'Leinil Francis Yu (signed, credited)', 'colors': 'Morry Hollowell (signed, credited)', 'genre': 'superhero', 'characters': 'Psylocke [Betsy Braddock]; Gambit [Remy LeBeau]; X [Charles Xavier]; Mystique [Raven Darkholm]; Rogue [Ann Marie]; Old Man Logan; Bishop'}"
0,X-Men,(December 1998),X-Men: The Manga #17,./covers/X-Men: The Manga #17.jpg,"{'pencils': 'Hirofumi Ichikawa', 'inks': 'Hirofumi Ichikawa', 'colors': '?', 'letters': 'typeset', 'genre': 'superhero', 'characters': 'Angel; Cable'}"
0,Ultimate X-Men,(October 2005),Ultimate X-Men #62,./covers/Ultimate X-Men #62.jpg,"{'pencils': 'Stuart Immonen [as sai] (signed)', 'inks': 'Stuart Immonen [as sai] (signed)', 'colors': 'Richard Isanove', 'letters': 'typeset', 'genre': 'superhero', 'characters': 'Magneto [Erik Lensherr]', 'reprints': 'in  Ultimate X-Men (Marvel, 2002 series) #13 - Magnetic North (2006), #13 - Magnetic North (2006)'}"
0,Ultimate X-Men,(May 2005),Ultimate X-Men #57,./covers/Ultimate X-Men #57.jpg,"{'pencils': 'Stuart Immonen [as sai] (signed)', 'inks': 'Wade Von Grawbadger (signed)', 'colors': 'Justin Ponsor [as J-Po] (signed)', 'letters': 'typeset', 'genre': 'superhero', 'characters': 'X-Men [Cyclops [Scott Summers]; Iceman [Bobby Drake]; Marvel Girl [Jean Grey]; Shadowcat [Kitty Pryde]]', 'reprints': 'in  Ultimate X-Men (Marvel, 2002 series) #11 - The Most Dangerous Game (2005)'}"
0,Ultimate X-Men,(September 2006),Ultimate X-Men #72,./covers/Ultimate X-Men #72.jpg,"{'pencils': 'Tom Raney (signed)', 'inks': 'Tom Raney (signed)', 'colors': 'Richard Isanove (signed)', 'letters': 'typeset', 'genre': 'superhero', 'characters': 'X-Men [Colossus [Piotr Rasputin]; Cyclops [Scott Summers]; Iceman [Bobby Drake]; Magician [Elliot Boggs]; Marvel Girl [Jean Grey]; Nightcrawler [Kurt Wagner]; Rogue; Shadowcat [Kitty Pryde]; Storm [Ororo Munroe]; Wolverine [Logan; James Howlett]]', 'reprints': 'in  Ultimate X-Men (Panini France, 2007 series) #7'}"
