,series,right,title,cover,metadata
0,New X-Men,(July 2005),New X-Men #13,./covers/New X-Men #13.jpg,"{'pencils': 'Michael Ryan [as Ryan] (signed)', 'inks': 'Rick Ketcham [as Rick] (signed)', 'colors': '?', 'genre': 'superhero', 'characters': 'Wind Dancer [Sofia Mantega]; Hellion [Julian Keller]', 'reprints': 'in  New X-Men: Academy X (Marvel, 2004 series) #3 - X-Posed ([December] 2005)'}"
0,X-Men,(December 2006),The Uncanny X-Men #479,./covers/The Uncanny X-Men #479.jpg,"{'pencils': 'Billy Tan (signed)', 'inks': 'Danny Miki (signed); Allen Martinez (with)', 'colors': ""Frank D'Armata (signed)"", 'letters': 'typeset', 'genre': 'superhero', 'characters': 'The X-Men [Professor X [Charles Xavier]; Polaris [Lorna Dane]; Havok [Alex Summers]; Darwin [Armando Muñoz]; Nightcrawler [Kurt Wagner]; Marvel Girl [Rachel Grey]; Warpath [James Proudstar]]; Korvus', 'reprints': ""in  Uncanny X-Men: Rise & Fall of the Shi'ar Empire (Marvel, 2007 series) #[nn] (2007) [cover]""}"
0,X-Men,(May 2005),The Uncanny X-Men #457,./covers/The Uncanny X-Men #457.jpg,"{'pencils': 'Alan Davis', 'inks': 'Mark Farmer', 'colors': '?', 'letters': 'typeset', 'genre': 'superhero', 'characters': 'Marvel Girl [Rachel Grey]; Bishop; Nightcrawler; Storm; Psylocke; X-23', 'reprints': 'in  X-Men (Hjemmet / Egmont, 2003 series) #6/2006 ([november] 2006)'}"
0,X-Men,(October 1994),The Uncanny X-Men #317,./covers/The Uncanny X-Men #317.jpg,"{'pencils': 'Joe Madureira (signed)', 'inks': 'Dan Green (signed)', 'colors': '?', 'genre': 'superhero', 'characters': 'Skin; Banshee; M; White Queen; Husk; Phalanx'}"
0,X-Men,(April 1994),The Uncanny X-Men #311,./covers/The Uncanny X-Men #311.jpg,"{'pencils': 'John Romita Jr. (signed)', 'inks': 'Al Vey (signed)', 'colors': '?', 'genre': 'superhero', 'characters': 'Sabretooth; Bishop'}"
0,X-Men,(August 1995),Ultimate Astonishing X-Men,./covers/Ultimate Astonishing X-Men.jpg,"{'pencils': 'Joe Madureira (signed)', 'inks': 'Tim Townsend (signed)', 'letters': 'Comicraft', 'genre': 'superhero', 'characters': 'X-Men [Magneto; Rogue; Sabretooth; Wildchild; Storm; Iceman; Blink; Morph; Sunfire; Banshee]', 'reprints': 'from  Astonishing X-Men (Marvel, 1995 series) #1 [Direct] (March 1995)'}"
0,X-Men,(March 2010),X-Men Forever #15,./covers/X-Men Forever #15.jpg,"{'pencils': 'Tom Grummett', 'inks': 'Cory Hamscher', 'colors': 'Morry Hollowell', 'letters': 'Tom Orzechowski', 'genre': 'superhero', 'characters': 'Storm'}"
0,X-Men,(July 2008),X-Men: Legacy #212,./covers/X-Men: Legacy #212.jpg,"{'pencils': 'David Finch', 'inks': 'David Finch', 'colors': '?', 'letters': 'Typeset', 'genre': 'superhero', 'characters': 'Cyclops; Jean Grey; Storm; Wolverine; Colossus; Nightcrawler; Kitty Pryde'}"
0,X-Men,(September 2008),X-Men: Legacy #214,./covers/X-Men: Legacy #214.jpg,"{'pencils': 'Alan Davis', 'inks': '?', 'colors': '?', 'letters': 'typeset', 'genre': 'superhero', 'characters': 'Cyclops [Scott Summers] (as a child)'}"
0,nan,(September 2008),Ultimate X-Men #96,./covers/Ultimate X-Men #96.jpg,{}
0,nan,(February 2008),Ultimate X-Men #89,./covers/Ultimate X-Men #89.jpg,{}
0,X-Men,(May 2010),X-Men Forever #19,./covers/X-Men Forever #19.jpg,"{'pencils': 'Tom Grummett', 'inks': 'Terry Austin', 'colors': 'Moose Baumann', 'letters': 'Tom Orzechowski', 'genre': 'superhero', 'characters': 'Sabretooth; Nick Fury; Agent Daisy Dugan', 'reprints': 'in  X-Men Extra (Panini France, 1997 series) #94 (février 2013)'}"
0,X-Men,(September 2012),Uncanny X-Men #16,./covers/Uncanny X-Men #16.jpg,"{'pencils': 'Daniel Acuña', 'inks': 'Daniel Acuña', 'colors': 'Daniel Acuña', 'letters': 'typeset', 'genre': 'superhero', 'characters': 'Mr. Sinister', 'reprints': 'in  New Avengers (Marvel, 2010 series) #28 (September 2012)', 'keywords': 'Phoenix Force'}"
0,X-Men,(June 2017),X-Men: Blue #1,./covers/X-Men: Blue #1.jpg,"{'pencils': 'Arthur Adams', 'inks': 'Arthur Adams', 'colors': 'Peter Steigerwald', 'genre': 'superhero', 'characters': 'Marvel Girl [Jean Grey]; Cyclops [Scott Summers]; Angel [Warren Worthington III]; Beast [Hank McCoy]; Iceman [Robert Drake]', 'reprints': 'in  X-Men Blue (Editorial Televisa, 2018 series) #1 (4 de enero de 2018)'}"
0,Wolverine; X-Men,(August 2013),Wolverine & the X-Men #31,./covers/Wolverine & the X-Men #31.jpg,"{'pencils': 'Nick Bradshaw', 'inks': 'Nick Bradshaw', 'colors': 'Morry Hollowell'}"
