,series,right,title,cover,metadata
0,X-Men,(June 1971),The X-Men #70,./covers/The X-Men #70.jpg,"{'pencils': 'Jack Kirby', 'inks': 'Dick Ayers', 'colors': '?', 'letters': 'Sam Rosen', 'genre': 'superhero', 'characters': 'X-Men [Professor X; Cyclops; Marvel Girl; Angel; Beast]', 'reprints': 'from  The X-Men (Marvel, 1963 series) #17 (February 1966)  in  Marvel Masterworks: The X-Men (Marvel, 2003 series) #7 ([October] 2008)  in  X-Mannen Classics (Classics/Williams, 1971 series) #18'}"
0,X-Men,(August 1971),The X-Men #71,./covers/The X-Men #71.jpg,"{'pencils': 'Werner Roth', 'inks': 'Dick Ayers', 'colors': '?', 'letters': 'Sam Rosen', 'genre': 'superhero', 'characters': 'X-Men [Cyclops; Angel; Iceman; Marvel Girl; Beast]; Professor X; Lucifer; Blob (in X-Man costume); Unus the Untouchable (in X-Man costume)', 'reprints': 'from  The X-Men (Marvel, 1963 series) #20 (May 1966)  in  Marvel Masterworks: The X-Men (Marvel, 2003 series) #7 ([October] 2008)'}"
0,X-Men,(December 1972),The X-Men #79,./covers/The X-Men #79.jpg,"{'pencils': 'Gil Kane', 'inks': 'Frank Giacoia', 'colors': '?', 'letters': 'Morrie Kuramoto', 'genre': 'superhero', 'characters': 'X-Men [Cyclops; Marvel Girl; Angel; Iceman; Beast]; Cobalt Man', 'reprints': 'in  X-Mannen Classics (Classics/Williams, 1971 series) #28 (1974)  in  X-mændene (Williams, 1973 series) #2/1974 (1974)  in  Marvel Masterworks: The X-Men (Marvel, 2003 series) #7 ([October] 2008)  in  Thor and the X-Men (Marvel UK, 1983 series) #38'}"
0,X-Men,(April 1973),The X-Men #81,./covers/The X-Men #81.jpg,"{'pencils': 'Gil Kane; Werner Roth; John Romita (see notes)', 'inks': 'Gil Kane; Sol Brodsky (see notes)', 'colors': 'Bill Everett', 'letters': 'Sam Rosen', 'genre': 'superhero', 'characters': 'X-Men [Cyclops; Marvel Girl; Angel; Iceman; Beast]; Juggernaut', 'reprints': 'from  The X-Men (Marvel, 1963 series) #33 (June 1967)  in  Marvel Masterworks: The X-Men (Marvel, 2003 series) #8 ([March] 2010)'}"
0,X-Men,(July 1995),X-Men: Rarities,./covers/X-Men: Rarities.jpg,"{'pencils': 'Mike Wieringo', 'inks': 'Terry Austin', 'colors': 'Digital Chameleon', 'genre': 'superhero', 'characters': 'Wolverine; Nightcrawler; Storm; Angel; Iceman; Banshee; White Queen; Jubilee; M; Husk; Chamber; Synch'}"
0,X-Men,(April 1974),The X-Men #87,./covers/The X-Men #87.jpg,"{'pencils': 'George Tuska', 'inks': 'George Tuska', 'colors': '?', 'letters': 'Sam Rosen', 'editing': 'Stan Lee (original Editor)', 'genre': 'superhero', 'characters': 'X-Men [Cyclops; Marvel Girl; Angel; Iceman; Beast]', 'reprints': 'from  The X-Men (Marvel, 1963 series) #39 (December 1967)  in  Marvel Masterworks: The X-Men (Marvel, 2003 series) #8 ([March] 2010)'}"
0,X-Men,(August 1974),The X-Men #89,./covers/The X-Men #89.jpg,"{'pencils': 'Larry Lieber', 'inks': 'Frank Giacoia', 'colors': '?', 'letters': 'Danny Crespi', 'genre': 'superhero', 'characters': 'X-Men [Cyclops; Marvel Girl; Beast; Iceman]; Grotesk', 'reprints': 'in  Marvel Masterworks: The X-Men (Marvel, 2003 series) #8 ([March] 2010)'}"
0,X-Men,(December 1974),The X-Men #91,./covers/The X-Men #91.jpg,"{'pencils': 'John Buscema', 'inks': 'John Buscema; John Tartaglione', 'colors': '?', 'letters': 'Tom Orzechowski', 'genre': 'superhero', 'characters': 'X-Men [Cyclops; Marvel Girl; Angel; Iceman; Beast]; Magneto', 'reprints': 'from  The X-Men (Marvel, 1963 series) #43 (April 1968)  in  Marvel Masterworks: The X-Men (Marvel, 2003 series) #8 ([March] 2010)'}"
0,Longshot,(May 2013),X-Men: Longshot,./covers/X-Men: Longshot.jpg,"{'pencils': 'Arthur Adams', 'inks': 'Arthur Adams', 'colors': '?', 'genre': 'science fiction; superhero', 'characters': 'Longshot', 'reprints': 'from  Longshot (Marvel, 1985 series) #1 [Direct Edition] (September 1985)'}"
0,X-Men,(September 1964),The X-Men #7,./covers/The X-Men #7.jpg,"{'pencils': 'Jack Kirby', 'inks': 'Chic Stone', 'colors': 'Stan Goldberg', 'letters': 'Artie Simek', 'genre': 'superhero', 'characters': 'The X-Men [Cyclops; Marvel Girl [Jean Grey]; Angel; Beast; Iceman]; Brotherhood of Evil Mutants [Magneto; Quicksilver; Scarlet Witch; Mastermind; Toad]; Blob', 'reprints': 'in  Fantastic! (IPC, 1967 series) #12 (6 May 1967)  in  Amazing Adventures (Marvel, 1979 series) #13 (December 1980)  in  The Official Marvel Index to the X-Men (Marvel, 1987 series) #1 (May 1987)  in  Marvel Masterworks (Marvel, 1987 series) #3 ([November] 1987)  in  X-Men: The Early Years (Marvel, 1994 series) #7 (November 1994)  in  Marvel Masterworks: The X-Men (Marvel, 1998 series) #[1] (December 1998)  in  Essential Uncanny X-Men (Marvel, 1999 series) #1 (September 1999)  in  Marvel Masterworks: The X-Men (Marvel, 2002 series) #1 (April 2002)  in  The X-Men Omnibus (Marvel, 2009 series) #1 ([April] 2009)  in  X-Men Epic Collection (Marvel, 2014 series) #1 - Children of the Atom ([January] 2015)'}"
0,X-Men,(January 2007),X-Men #193,./covers/X-Men #193.jpg,"{'pencils': 'Chris Bachalo', 'inks': 'Tim Townsend', 'colors': 'Antonio Fabela', 'letters': 'Typeset', 'genre': 'superhero', 'characters': 'Sabretooth; Mystique; Rogue; Cannonball; Serafina; Omega Sentinel [Karima Shapandar]'}"
