,series,right,title,cover,metadata
0,X-Men,,Uncanny X-Men #12 [Milo Manara variant],./covers/Uncanny X-Men #12 [Milo Manara variant].jpg,"{'pencils': 'Milo Manara', 'inks': 'Milo Manara', 'colors': 'Milo Manara', 'genre': 'superhero'}"
0,nan,Published in English        (United States),X-Men Movie Prequel: Wolverine  [Dynamic Forces Exclusive Cover],./covers/X-Men Movie Prequel: Wolverine  [Dynamic Forces Exclusive Cover].jpg,{}
0,X-Men,(April 2016),X-Men: Worst X-Man Ever #1,./covers/X-Men: Worst X-Man Ever #1.jpg,"{'pencils': 'Michael Walsh', 'inks': 'Michael Walsh', 'colors': 'Michael Walsh', 'genre': 'superhero'}"
0,X-Men,(March 2016),Extraordinary X-Men #3 [Second Printing Variant],nan,"{'pencils': 'Humberto Ramos (signed)', 'inks': 'Humberto Ramos (signed)', 'colors': 'Edgar Delgado (signed)', 'genre': 'superhero', 'characters': 'Jean Grey; Old Man Logan; Magik; Storm; Colossus; Nightcrawler', 'reprints': 'in  X-Men (Panini Deutschland, 2016 series) #1 - Die Zuflucht (August 2016)'}"
0,nan,([December] 2016),X-Men Epic Collection #2 - Lonely Are The Hunted,./covers/X-Men Epic Collection #2 - Lonely Are The Hunted.jpg,{}
0,X-Men,(January 2016),Extraordinary X-Men #1 [Incentive J. Scott Campbell Variant],./covers/Extraordinary X-Men #1 [Incentive J. Scott Campbell Variant].jpg,"{'pencils': 'J. Scott Campbell (signed)', 'inks': 'J. Scott Campbell (signed)', 'colors': 'Nei Ruffino (signed)', 'genre': 'superhero', 'characters': 'Magik'}"
0,X-Men,(May 2017),X-Men Prime #1 [Incentive John Cassaday Variant],nan,"{'pencils': 'Ardian Syaf; Jay Leisten', 'inks': 'Ardian Syaf; Jay Leisten', 'colors': 'Laura Martin', 'genre': 'superhero', 'characters': 'Kitty Pryde; Nightcrawler [Kurt Wagner]; Storm [Ororo Munroe]; Beast [Henry McCoy]; Jubilee [Jubilation Lee]; Marvel Girl [Jean Grey]; Old Man Logan [James ""Logan"" Howlett]; Prestige [Rachel Summers]; Cyclops [Scott Summers]; Wolverine [Laura Kinney]; Colossus [Piotr Rasputin]; Iceman [Bobby Drake]; Sabretooth [Victor Creed]; Angel [Warren Worthington III]'}"
0,X-Men,(June 2017),X-Men: Blue #1 [Incentive Neal Adams Variant],./covers/X-Men: Blue #1 [Incentive Neal Adams Variant].jpg,"{'pencils': 'Neal Adams (signed, credited)', 'inks': 'Neal Adams (signed, credited)', 'colors': 'Edgar Delgado (signed, credited)', 'genre': 'superhero', 'characters': 'Cyclops [Scott Summers]; Juggernaut [Cain Marko]'}"
0,X-Men,(May 2016),Extraordinary X-Men #6 [Second Printing Variant],nan,"{'pencils': 'Humberto Ramos (signed)', 'colors': 'Edgar Delgado (signed)', 'genre': 'superhero', 'characters': 'X-Men [Storm; Colossus; Magik; Old Man Logan; Iceman]', 'reprints': 'in  X-Men (Panini Deutschland, 2016 series) #2 - Die Apokalypse-Kriege (Dezember 2016)'}"
0,Yeti,(January 2016),Extraordinary X-Men #2 [Phil Noto Kirby Monster Variant],./covers/Extraordinary X-Men #2 [Phil Noto Kirby Monster Variant].jpg,"{'pencils': 'Phil Noto (signed)', 'inks': 'Phil Noto (signed)', 'colors': 'Phil Noto (signed)', 'genre': 'horror-suspense; superhero', 'characters': 'Yeti; Black Panther; Baron Wolfgang von Strucker'}"
