,series,right,title,cover,metadata
0,Daredevil,,Daredevil #595 [Elizabeth Torque Lenticular Homage Cover],nan,"{'pencils': 'Bill Sienkiewicz (signed, credited)', 'inks': 'Bill Sienkiewicz (signed, credited)', 'colors': 'Bill Sienkiewicz (signed, credited)', 'genre': 'superhero', 'characters': 'Daredevil [Matt Murdock]; Kingpin [Wilson Fisk]'}"
0,Cyclops,(October 2014),Cyclops #4,./covers/Cyclops #4.jpg,"{'pencils': 'Alexander Lozano', 'inks': 'Alexander Lozano', 'colors': 'Alexander Lozano', 'genre': 'superhero'}"
0,Avengers Academy,(July 2012),Avengers Academy #30,./covers/Avengers Academy #30.jpg,"{'pencils': 'Giuseppe Camuncoli', 'inks': 'Giuseppe Camuncoli', 'colors': 'Jim Charalampidis', 'genre': 'superhero', 'characters': 'Mettle; Sebastian Shaw', 'reprints': 'in  Thor (Panini France, 2012 series) #6 (décembre 2012)  in  Avengers vs. X-Men: Avengers Academy (Marvel, 2013 series)  ([March] 2013)'}"
0,Cyclops,(January 2015),Cyclops #7,./covers/Cyclops #7.jpg,"{'pencils': 'Alexander Lozano', 'inks': 'Alexander Lozano', 'colors': 'Alexander Lozano', 'genre': 'superhero'}"
0,Cyclops,(November 2014),Cyclops #5,./covers/Cyclops #5.jpg,"{'pencils': 'Alexander Lozano', 'inks': 'Alexander Lozano', 'colors': 'Alexander Lozano', 'genre': 'superhero'}"
0,Nightcrawler,(September 2014),Nightcrawler #4,./covers/Nightcrawler #4.jpg,"{'pencils': 'Jamie McKelvie', 'inks': 'Jamie McKelvie', 'colors': 'Matthew Wilson', 'genre': 'superhero', 'characters': 'Nightcrawler [Kurt Wagner]; Trimega', 'reprints': 'in  Nightcrawler (Marvel, 2014 series) #1 - Homecoming (2014)'}"
0,Cyclops,(March 2015),Cyclops #9,./covers/Cyclops #9.jpg,"{'pencils': 'Alexander Lozano', 'inks': 'Alexander Lozano', 'colors': 'Alexander Lozano', 'genre': 'superhero'}"
0,Cyclops,(February 2015),Cyclops #8,./covers/Cyclops #8.jpg,"{'pencils': 'Alexander Lozano', 'inks': 'Alexander Lozano', 'colors': 'Alexander Lozano', 'genre': 'superhero'}"
0,Gambit,(March 2000),Gambit #14 [Newsstand Edition],./covers/Gambit #14 [Newsstand Edition].jpg,"{'pencils': 'Kevin Maguire', 'inks': 'Kevin Maguire', 'colors': 'Digital Broome (signed)', 'letters': '?', 'genre': 'superhero', 'characters': 'Gambit; Candra'}"
0,Gambit,(January 2000),Gambit #12 [Newsstand Edition],nan,"{'pencils': 'Steve Skroce (signed)', 'inks': 'Rodney Ramos (signed)', 'colors': 'Chris Sotomayor [as Â¡soto!] (signed)', 'letters': 'Typeset', 'genre': 'superhero', 'characters': 'Gambit; Doombots'}"
0,Cyclops,(December 2014),Cyclops #6,./covers/Cyclops #6.jpg,"{'pencils': 'Alexander Lozano', 'inks': 'Alexander Lozano', 'colors': 'Alexander Lozano', 'genre': 'superhero'}"
0,X-Men,(April 2010),Second Coming: Prepare #[nn],./covers/Second Coming: Prepare #[nn].jpg,"{'pencils': 'Daniel Acuña', 'inks': 'Daniel Acuña', 'colors': 'Daniel Acuña', 'letters': 'typeset', 'genre': 'superhero', 'characters': 'Cyclops; Wolverine; Nightcrawler; Emma Frost [White Queen]; Rogue; Beast; Cannonball; Deadpool; Surge; Storm; Archangel; Dust; Domino; Iceman; Magneto; Colossus; Warpath; Anole; Pixie; Sunspot', 'reprints': 'in  The Uncanny X-Men (Marvel, 1981 series) #523 [2nd Print Variant] (June 2010)'}"
0,Gambit,(March 2000),Gambit #14 [Direct Edition],./covers/Gambit #14 [Direct Edition].jpg,"{'pencils': 'Kevin Maguire', 'inks': 'Kevin Maguire', 'colors': 'Digital Broome (signed)', 'letters': '?', 'genre': 'superhero', 'characters': 'Gambit; Candra'}"
0,Gambit,(January 2000),Gambit #12 [Direct Edition],./covers/Gambit #12 [Direct Edition].jpg,"{'pencils': 'Steve Skroce (signed)', 'inks': 'Rodney Ramos (signed)', 'colors': 'Chris Sotomayor [as Â¡soto!] (signed)', 'letters': 'Typeset', 'genre': 'superhero', 'characters': 'Gambit; Doombots'}"
0,Gambit,(February 2000),Gambit #13 [Newsstand Edition],./covers/Gambit #13 [Newsstand Edition].jpg,"{'pencils': 'Kevin Maguire [as MAG] (signed)', 'inks': 'Mark McKenna [as McK] (signed)', 'colors': 'Digital Broome (signed)', 'letters': '?', 'genre': 'superhero', 'characters': 'Gambit; Courier [Jacob Gavin]'}"
0,New Mutants,(May 2010),New Mutants #11,./covers/New Mutants #11.jpg,"{'pencils': 'Terry Dodson', 'inks': 'Rachel Dodson', 'colors': '?', 'characters': 'Danielle Moonstar; Brightwind'}"
0,Gambit,(February 2000),Gambit #13 [Direct Edition],./covers/Gambit #13 [Direct Edition].jpg,"{'pencils': 'Kevin Maguire [as MAG] (signed)', 'inks': 'Mark McKenna [as McK] (signed)', 'colors': 'Digital Broome (signed)', 'letters': '?', 'genre': 'superhero', 'characters': 'Gambit; Courier [Jacob Gavin]'}"
0,nan,([October] 2010),Cable #4 - Homecoming,nan,{}
