,series,right,title,cover,metadata
0,X-Men 2099,(February 1995),X-Men 2099 #17 [Newsstand Edition],./covers/X-Men 2099 #17 [Newsstand Edition].jpg,"{'pencils': 'Ron Lim (signed)', 'inks': 'Harry Candelario (signed)', 'colors': 'Tom Smith', 'genre': 'science fiction; superhero', 'characters': 'Krystalin; Daze'}"
0,X-Men 2099,(April 1995),X-Men 2099 #19 [Newsstand Edition],nan,"{'pencils': 'Ron Lim (signed)', 'inks': 'Harry Candelario (signed)', 'colors': 'Tom Smith', 'genre': 'science fiction; superhero', 'characters': 'Meanstreak; Halloween Jack [Jordan Boone; Loki]; Lytton', 'reprints': 'in  X-Men 2099 (Marvel Italia, 1994 series) #18 (Novembre 1995)'}"
0,X-Men 2099,(November 1995),X-Men 2099 #26 [Newsstand Edition],nan,"{'pencils': 'Ron Lim (signed)', 'inks': 'Harry Candelario (signed)', 'colors': 'Tom Smith', 'genre': 'science fiction; superhero', 'characters': 'X-Men 2099 [Cerebra; Skullfire; La Lunatica]; The Undead [Graverobber; Catscratch; Arcadian; Serpentina]'}"
0,X-Men 2099,(February 1996),X-Men 2099 #29 [Newsstand Edition],nan,"{'pencils': 'Ron Lim (signed)', 'inks': 'Harry Candelario (signed)', 'colors': 'Tom Smith', 'genre': 'science fiction; superhero', 'characters': 'Skullfire'}"
0,X-Men,,The Uncanny X-Men #155 [Newsstand Edition],./covers/The Uncanny X-Men #155 [Newsstand Edition].jpg,"{'pencils': 'Dave Cockrum (signed)', 'inks': 'Bob Wiacek (signed)', 'colors': '?', 'genre': 'superhero', 'characters': 'Corsair; Cyclops; Storm; Wolverine; Colossus; Tigra', 'reprints': 'in  Die Gruppe X (Condor, 1988 series) #2  in  Essential X-Men (Marvel, 1996 series) #3 (July 1998)  in  Marvel Masterworks: The Uncanny X-Men (Marvel, 2003 series) #7 [Regular Edition] ([January] 2011)  in  Marvel Gold. La Imposible Patrulla-X (Panini España, 2011 series) #3 - Vs. Magneto (Noviembre 2012)  in  Les Mystérieux X-Men (Editions Héritage, 1985 series) #62'}"
0,X-Men,(May 2001),X-Men #112 [Newsstand Edition],nan,"{'pencils': 'Ian Churchill (signed)', 'inks': 'Ian Churchill (signed)', 'colors': 'Hi-Fi Colour Design (signed)', 'letters': '?', 'genre': 'superhero', 'characters': 'Wolverine; Cyclops'}"
0,X-Men,(January 2000),X-Men #96 [Newsstand Edition],./covers/X-Men #96 [Newsstand Edition].jpg,"{'pencils': 'Alan Davis', 'inks': 'Mark Farmer', 'colors': '?', 'letters': '?', 'genre': 'superhero', 'characters': 'X-Men [Nightcrawler; Archangel; Kitty Pryde; Jubilee]; Wolverine [as Death]', 'reprints': 'in  X-Men Universe (Marvel, 1999 series) #5 (April 2000)'}"
0,X-Men,(November 2001),New X-Men #118 [Newsstand Edition],nan,"{'pencils': 'Frank Quitely (signed)', 'inks': 'Tim Townsend (signed)', 'colors': 'HiFi Design (signed)', 'genre': 'superhero', 'characters': 'Cyclops', 'reprints': 'in  New X-Men (Marvel, 2002 series) #1 (2002)  in  X-Men (Hjemmet / Egmont, 2003 series) #3/2003 ([august] 2003)'}"
0,X-Men,(January 2002),New X-Men #120 [Newsstand Edition],nan,"{'pencils': 'Frank Quitely (signed)', 'inks': 'Tim Townsend', 'colors': 'HiFi Design', 'genre': 'superhero', 'characters': 'Jean Grey', 'reprints': ""in  New X-Men (Marvel, 2002 series) #1 (2002)  in  New X-Men (Marvel, 2001 series) #4 - Riot at Xavier's ([May] 2003)  in  Dobry komiks (Axel Springer Polska, 2004 series) #27/2004 ([listopad] 2004)""}"
0,X-Men,(February 2002),New X-Men #121 [Newsstand Edition],nan,"{'pencils': 'Frank Quitely (signed)', 'inks': 'Frank Quitely (signed)', 'colors': 'HiFi Design (signed)', 'letters': '?', 'genre': 'superhero', 'characters': 'Professor X; Cassandra Nova', 'reprints': 'in  New X-Men (Marvel, 2002 series) #1 (2002)'}"
0,X-Men,(June 2002),New X-Men #125 [Newsstand Edition],./covers/New X-Men #125 [Newsstand Edition].jpg,"{'pencils': 'Ethan van Sciver', 'inks': '?', 'colors': '?', 'genre': 'superhero', 'characters': 'Beak', 'reprints': 'in  New X-Men (Marvel, 2002 series) #1 (2002)'}"
0,X-Men,(May 2002),New X-Men #124 [Newsstand Edition],nan,"{'pencils': 'Frank Quitely (signed)', 'inks': 'Tim Townsend (signed)', 'colors': 'HiFi Design (signed)', 'genre': 'superhero', 'characters': 'Xorn', 'reprints': 'in  New X-Men (Marvel, 2002 series) #1 (2002)'}"
0,X-Men,(May 1999),X-Men #88 [Newsstand Edition],./covers/X-Men #88 [Newsstand Edition].jpg,"{'pencils': 'Alan Davis', 'inks': 'Mark Farmer', 'colors': '?', 'genre': 'superhero', 'characters': 'Professor X', 'synopsis': ""Professor X with Wolverine's claws""}"
0,X-Men,(October 1999),X-Men #93 [Newsstand Edition],./covers/X-Men #93 [Newsstand Edition].jpg,"{'pencils': 'Alan Davis', 'inks': 'Mark Farmer', 'colors': '?', 'letters': '?', 'genre': 'superhero', 'characters': 'Mystique; Sabretooth; Mastermind; Mesmero'}"
0,X-Men,(April 2000),X-Men #99 [Newsstand Edition],./covers/X-Men #99 [Newsstand Edition].jpg,"{'pencils': 'Paul Smith [as PMS] (signed)', 'inks': 'Paul Smith [as PMS] (signed)', 'colors': '?', 'letters': '?', 'genre': 'superhero', 'characters': 'Wolverine; High Evolutionary', 'reprints': 'in  X-Men Universe (Marvel, 1999 series) #8 (July 2000)'}"
0,X-Men,(November 2000),X-Men #106 [Newsstand Edition],nan,"{'pencils': 'Tom Raney (signed)', 'inks': 'Scott Hanna (signed)', 'colors': 'Liquid Graphics (signed)', 'letters': '?', 'genre': 'superhero', 'characters': 'Wolverine; Cecilia Reyes'}"
0,X-Men,(October 1999),X-Men #93 [$2.29 Cover],./covers/X-Men #93 [$2.29 Cover].jpg,"{'pencils': 'Alan Davis', 'inks': 'Mark Farmer', 'colors': '?', 'letters': '?', 'genre': 'superhero', 'characters': 'Mystique; Sabretooth; Mastermind; Mesmero'}"
0,X-Men,(September 2013),X-Men #3 [Newsstand Edition],./covers/X-Men #3 [Newsstand Edition].jpg,"{'pencils': 'Olivier Coipel', 'inks': 'Olivier Coipel', 'colors': 'Laura Martin', 'genre': 'superhero', 'characters': 'Psylocke'}"
0,X-Men,(February 1980),The X-Men #130 [British Price Variant],./covers/The X-Men #130 [British Price Variant].jpg,"{'pencils': 'John Romita, Jr. [as J.R.J.R.] (signed)', 'inks': 'Terry Austin (signed)', 'colors': '?', 'letters': 'Dan Crespi; Jim Salicrup', 'genre': 'superhero', 'characters': 'X-Men [Cyclops [Scott Summers]; Phoenix [Jean Grey]; Nightcrawler [Kurt Wagner]]; Dazzler [Alison Blaire]', 'reprints': 'in  Rampage Monthly (Marvel UK, 1978 series) #48 (June 1982)  in  The Official Marvel Index to the X-Men (Marvel, 1987 series) #7 (July 1988)  in  Essential Dazzler (Marvel, 2007 series) #1 (2007)  in  X-Men: Dark Phoenix Saga (Marvel, 2010 series)  (June 2010)  in  Coleccionable Marvel Héroes (Panini España, 2010 series) #4 - La Patrulla-X: La Saga De Fénix Oscura (Septiembre 2010)  in  The Ultimate Graphic Novels Collection (Hachette Partworks, 2011 series) #2 - Uncanny X-Men: Dark Phoenix (January 2012)  in  Marvel Gold. La Imposible Patrulla-X (Panini España, 2011 series) #2 - Días del Futuro Pasado  in  Marvel Superhelden (JuniorPress, 1981 series) #3  in  Les Mystérieux X-Men (Editions Héritage, 1985 series) #37/38  in  X-Men (Μαμούθ Comix, 1986 series) #31  in  Essential X-Men (Marvel, 1996 series) #2'}"
0,X-Men,(August 1981),The Uncanny X-Men #148 [Newsstand Edition],./covers/The Uncanny X-Men #148 [Newsstand Edition].jpg,"{'pencils': 'Dave Cockrum (signed)', 'inks': 'Dave Cockrum (signed)', 'colors': '?', 'letters': 'Dan Crespi; Typeset', 'genre': 'superhero', 'characters': 'Kitty Pryde; Spider-Woman [Jessica Drew]; Storm; Dazzler; Caliban', 'reprints': 'in  X-Men Classic (Marvel, 1990 series) #52 (October 1990)  in  Essential X-Men (Marvel, 1996 series) #3 (July 1998)  in  Marvel Gold. La Imposible Patrulla-X (Panini España, 2011 series) #3 - Vs. Magneto (Noviembre 2012)  in  Essential Spider-Woman (Marvel, 2005 series) #2'}"
0,X-Men,(February 1982),The Uncanny X-Men #154 [direct edition],./covers/The Uncanny X-Men #154 [direct edition].jpg,"{'pencils': 'Dave Cockrum (signed)', 'inks': 'Dave Cockrum (signed)', 'colors': '?', 'letters': '?', 'genre': 'superhero', 'characters': 'Cyclops; Storm; Corsair; Sidrian Hunters', 'reprints': 'in  Essential X-Men (Marvel, 1996 series) #3 (July 1998)  in  Marvel Masterworks: The Uncanny X-Men (Marvel, 2003 series) #7 [Regular Edition] ([January] 2011)  in  Marvel Gold. La Imposible Patrulla-X (Panini España, 2011 series) #3 - Vs. Magneto (Noviembre 2012)'}"
